H	E	S*	DATA
O	N	1	41.424279330633
O	N	1	53.165733212236
O	N	1	31.825776602663
O	N	1	51.127793160677
O	N	1	46.846622033029
O	N	1	38.129770781884
O	N	1	42.378558926719
O	N	1	55.706107155149
O	N	1	45.711938127415
O	N	1	42.020655892919
O	N	2	33.146220734731
O	N	2	51.204167312766
O	N	2	21.019974533407
O	N	2	43.196945746741
O	N	2	38.915557362354
O	N	2	40.459044321833
O	N	2	48.163482659459
O	N	2	30.447616434369
O	N	2	56.941440218405
O	N	2	39.859166242177
O	S	1	46.09450771428
O	S	1	45.9640706301
O	S	1	43.092996719895
O	S	1	57.149793799561
O	S	1	45.981648186517
O	S	1	50.992854035499
O	S	1	48.831495998955
O	S	1	69.833081850126
O	S	1	65.755323476818
O	S	1	66.604225038489
O	S	2	55.619253365561
O	S	2	52.656905905847
O	S	2	57.788510947647
O	S	2	47.744189702926
O	S	2	44.857751320766
O	S	2	37.961335831625
O	S	2	42.510921176266
O	S	2	57.557685080862
O	S	2	40.442848628497
O	S	2	46.318850393038
O	C	1	56.935473991026
O	C	1	50.618013679059
O	C	1	43.437585030821
O	C	1	40.381623343324
O	C	1	43.433537880717
O	C	1	57.948092888404
O	C	1	52.604982333742
O	C	1	25.530745226696
O	C	1	43.774177756711
O	C	1	38.614468904955
O	C	2	44.546279356505
O	C	2	50.044899321589
O	C	2	51.031742222964
O	C	2	50.576035439853
O	C	2	48.182588500087
O	C	2	39.260066737088
O	C	2	35.758684380837
O	C	2	42.854323100082
O	C	2	45.976078958214
O	C	2	49.787441584414
P	N	3	49.060847322419
P	N	3	34.565754831851
P	N	3	59.895769662386
P	N	3	47.718542952956
P	N	3	33.774131609236
P	N	3	54.387254557607
P	N	3	35.157308127754
P	N	3	51.536475479467
P	N	3	36.858298664378
P	N	3	45.344098268807
P	N	4	61.149317457942
P	N	4	30.001450331686
P	N	4	39.074208661179
P	N	4	47.452266178935
P	N	4	53.570239094797
P	N	4	29.616478784067
P	N	4	46.273357784681
P	N	4	35.864498961767
P	N	4	51.226216389634
P	N	4	40.754474314393
P	S	3	58.181707843206
P	S	3	45.90698069889
P	S	3	49.335821501009
P	S	3	46.513387962176
P	S	3	41.155224076594
P	S	3	55.904125154069
P	S	3	41.196990417951
P	S	3	43.747087673881
P	S	3	42.043679963695
P	S	3	42.043679963695
P	S	4	29.891198130632
P	S	4	35.555147968478
P	S	4	39.130929769102
P	S	4	41.321546088199
P	S	4	44.681332964204
P	S	4	35.433885689195
P	S	4	43.195370835306
P	S	4	48.580095236646
P	S	4	35.789299516045
P	S	4	48.548952979687
P	C	3	36.082962663378
P	C	3	48.03075249188
P	C	3	57.768279360936
P	C	3	41.865830845082
P	C	3	29.335087606778
P	C	3	32.172340286913
P	C	3	31.868230358174
P	C	3	45.89369878378
P	C	3	40.931578738944
P	C	3	41.637905699796
P	C	4	34.985983634405
P	C	4	55.885905886854
P	C	4	57.631444191833
P	C	4	45.163607299016
P	C	4	52.988002316263
P	C	4	50.033698162035
P	C	4	47.618018379724
P	C	4	36.052403915602
P	C	4	36.904394063975
P	C	4	35.66674956216
E	N	5	56.075566665819
E	N	5	43.524303414079
E	N	5	30.52538632101
E	N	5	54.967264116891
E	N	5	51.971724100166
E	N	5	48.735409077876
E	N	5	53.296007655947
E	N	5	38.784713150787
E	N	5	40.189612157391
E	N	5	55.49309061934
E	N	6	47.04218361872
E	N	6	58.311369092066
E	N	6	36.283894158661
E	N	6	35.840503666209
E	N	6	32.13885492262
E	N	6	46.491576104846
E	N	6	36.525378284908
E	N	6	54.456418051113
E	N	6	52.986525230002
E	N	6	42.978762946212
E	S	5	45.883923511337
E	S	5	49.382705072753
E	S	5	59.581243387378
E	S	5	63.630785668051
E	S	5	59.681963556035
E	S	5	37.527083259979
E	S	5	51.482162146151
E	S	5	48.306936350719
E	S	5	53.693046637456
E	S	5	50.114046438116
E	S	6	52.29506112624
E	S	6	46.540464252775
E	S	6	52.330681839899
E	S	6	40.793656409484
E	S	6	43.870904028291
E	S	6	50.521703468394
E	S	6	48.755413792181
E	S	6	46.981067303421
E	S	6	51.449278439176
E	S	6	45.476607634411
E	C	5	59.495110511431
E	C	5	37.218590042894
E	C	5	54.235065912031
E	C	5	51.319706169282
E	C	5	54.95535450131
E	C	5	50.379821037881
E	C	5	54.276810361521
E	C	5	43.829431727977
E	C	5	56.644189513132
E	C	5	44.986446960961
E	C	6	47.65806519125
E	C	6	48.961650750123
E	C	6	32.243772982752
E	C	6	50.83729755018
E	C	6	55.468065044498
E	C	6	42.440287617223
E	C	6	57.18209733541
E	C	6	39.688997282331
E	C	6	57.739831801555
E	C	6	46.648351828793
M	N	7	40.688869079161
M	N	7	47.293127380319
M	N	7	35.664008484608
M	N	7	53.562217022835
M	N	7	66.370597712059
M	N	7	37.160110800163
M	N	7	30.135733273039
M	N	7	57.489877865754
M	N	7	54.687803068508
M	N	7	69.545671283717
M	N	8	50.459484947678
M	N	8	51.315975727474
M	N	8	20.688451146079
M	N	8	61.259831368678
M	N	8	56.06285468751
M	N	8	50.281248885154
M	N	8	48.134902101352
M	N	8	58.978644116983
M	N	8	47.513903283063
M	N	8	36.104964132402
M	S	7	55.212805948353
M	S	7	57.452916540323
M	S	7	65.429783239199
M	S	7	68.012554875934
M	S	7	62.189392965577
M	S	7	49.679597151914
M	S	7	49.382844420083
M	S	7	74.995562771724
M	S	7	65.815725640774
M	S	7	54.939142822775
M	S	8	64.70615350661
M	S	8	58.608128962736
M	S	8	69.238067284217
M	S	8	74.623448712093
M	S	8	48.859885971198
M	S	8	69.949997129579
M	S	8	59.373154171185
M	S	8	46.862018390981
M	S	8	46.356672224422
M	S	8	58.55112114084
M	C	7	58.505604753592
M	C	7	40.015029667902
M	C	7	49.350269487364
M	C	7	42.788055963979
M	C	7	51.510410755552
M	C	7	55.71582393499
M	C	7	54.877113005711
M	C	7	55.198823355503
M	C	7	87.473567287111
M	C	7	62.837785186725
M	C	8	51.918648168623
M	C	8	38.340896410748
M	C	8	55.424814795301
M	C	8	59.048567955685
M	C	8	51.607553939618
M	C	8	43.337947021356
M	C	8	53.700071889026
M	C	8	41.822756269516
M	C	8	49.7105244308
M	C	8	52.577466986956
