Trat      DATA
MolNet0  46.76
MolNet0  49.26
MolNet0  50.62
MolNet0  48.07
MolNet0  46.43
MolNet1  48.78
MolNet1  51.65
MolNet1  51.16
MolNet1  56.30
MolNet1  51.25
MolNet2  46.20
MolNet2  47.25
MolNet2  50.82
MolNet2  55.52
MolNet2  47.29
MolCtl0  49.85
MolCtl0  47.35
MolCtl0  52.76
MolCtl0  47.71
MolCtl0  43.24
MolCtl1  54.15
MolCtl1  50.96
MolCtl1  51.45
MolCtl1  52.37
MolCtl1  54.98
MolCtl2  53.90
MolCtl2  52.31
MolCtl2  52.31
MolCtl2  54.44
MolCtl2  43.57
MinNet3  41.38
MinNet3  46.88
MinNet3  44.20
MinNet3  45.06
MinNet3  42.00
MinNet4  40.34
MinNet4  46.96
MinNet4  43.53
MinNet4  37.22
MinNet4  39.82
MinNet5  45.91
MinNet5  37.95
MinNet5  39.60
MinNet5  47.34
MinNet5  44.95
MinCtl3  48.71
MinCtl3  45.25
MinCtl3  45.58
MinCtl3  42.76
MinCtl3  43.87
MinCtl4  46.48
MinCtl4  41.59
MinCtl4  44.01
MinCtl4  45.48
MinCtl4  48.90
MinCtl5  42.62
MinCtl5  43.56
MinCtl5  42.95
MinCtl5  43.74
MinCtl5  47.67
BuaNet6  46.3
BuaNet6  48.5
BuaNet6  41.12
BuaNet6  39.23
BuaNet6  49.23
BuaNet7  46.5
BuaNet7  36.6
BuaNet7  48.11
BuaNet7  31.6
BuaNet7  46.6
BuaNet8  54.45
BuaNet8  36.2
BuaNet8  40
BuaNet8  37.6
BuaNet8  47.6
