Local* Treat Zone* DATA
Mol Net 0 46.76
Mol Net 0 49.26
Mol Net 0 50.62
Mol Net 0 48.07
Mol Net 0 46.43
Mol Net 1 48.78
Mol Net 1 51.65
Mol Net 1 51.16
Mol Net 1 56.30
Mol Net 1 51.25
Mol Net 2 46.20
Mol Net 2 47.25
Mol Net 2 50.82
Mol Net 2 55.52
Mol Net 2 47.29
Mol Ctl 0 49.85
Mol Ctl 0 47.35
Mol Ctl 0 52.76
Mol Ctl 0 47.71
Mol Ctl 0 43.24
Mol Ctl 1 54.15
Mol Ctl 1 50.96
Mol Ctl 1 51.45
Mol Ctl 1 52.37
Mol Ctl 1 54.98
Mol Ctl 2 53.90
Mol Ctl 2 52.31
Mol Ctl 2 52.31
Mol Ctl 2 54.44
Mol Ctl 2 43.57
Min Net 3 41.38
Min Net 3 46.88
Min Net 3 44.20
Min Net 3 45.06
Min Net 3 42.00
Min Net 4 40.34
Min Net 4 46.96
Min Net 4 43.53
Min Net 4 37.22
Min Net 4 39.82
Min Net 5 45.91
Min Net 5 37.95
Min Net 5 39.60
Min Net 5 47.34
Min Net 5 44.95
Min Ctl 3 48.71
Min Ctl 3 45.25
Min Ctl 3 45.58
Min Ctl 3 42.76
Min Ctl 3 43.87
Min Ctl 4 46.48
Min Ctl 4 41.59
Min Ctl 4 44.01
Min Ctl 4 45.48
Min Ctl 4 48.90
Min Ctl 5 42.62
Min Ctl 5 43.56
Min Ctl 5 42.95
Min Ctl 5 43.74
Min Ctl 5 47.67
Bua Net 6 46.3
Bua Net 6 48.5
Bua Net 6 41.12
Bua Net 6 39.23
Bua Net 6 49.23
Bua Net 7 46.5
Bua Net 7 36.6
Bua Net 7 48.11
Bua Net 7 31.6
Bua Net 7 46.6
Bua Net 8 54.45
Bua Net 8 36.2
Bua Net 8 40
Bua Net 8 37.6
Bua Net 8 47.6
