Treat	Shore*	DATA
N	Mol	14.0192
N	Mol	15.9295
N	Mol	11.4541
N	Mol	12.0163
N	Mol	13.0927
N	Via	7.93026
N	Via	15.8211
N	Via	11.5756
N	Via	14.9404
N	Via	11.2965
N	Via	11.9125
N	Bal	13.321
N	Bal	12.8822
N	Bal	13.9681
N	Bal	14.7084
N	Bal	12.6645
N	Bal	15.5501
N	Ave	12.8831
N	Ave	13.8441
N	Ave	15.9219
N	Ave	11.1534
N	Ave	12.0287
N	Ave	12.0175
C	Mol	11.8137
C	Mol	14.0613
C	Mol	14.8301
C	Mol	12.6349
C	Mol	14.3438
C	Mol	14.3395
C	Via	15.586
C	Via	15.2743
C	Via	11.81
C	Via	13.8837
C	Via	15.8361
C	Bal	14.1613
C	Bal	13.2371
C	Bal	14.3036
C	Bal	12.7605
C	Bal	16.15
C	Bal	17.3874
C	Ave	15.0777
C	Ave	13.9081
C	Ave	14.2517
C	Ave	13.4421
C	Ave	12.6034
C	Ave	14.7298
R	Mol	15.113
R	Mol	17.7807
R	Mol	17.1873
R	Mol	14.3557
R	Mol	14.8449
R	Via	12.8871
R	Via	12.2483
R	Via	15.9053
R	Via	13.6445
R	Via	14.6166
R	Via	15.257
R	Bal	12.822
R	Bal	15.6607
R	Bal	12.1109
R	Bal	14.4893
R	Bal	19.1854
R	Ave	16.7795
R	Ave	15.8029
R	Ave	18.1796
R	Ave	13.4379
R	Ave	15.4459
R	Ave	16.0994
