Season	Age	DATA
S 	A	19
S 	A	19
S 	A	18
S 	A	13
S 	A	11
S 	A	27
S 	A	18
S 	A	18
S 	A	20
S 	A	26
S 	J	8
S 	J	7
S 	J	6
S 	J	9
S 	J	6
S 	J	5
S 	J	11
S 	J	14
S 	J	6
S 	J	15
S	A	10
S	A	16
S	A	8
S	A	12
S	A	13
S	A	23
S	A	13
S	A	21
S	A	9
S	A	17
S	J	13
S	J	14
S	J	8
S	J	14
S	J	12
S	J	12
S	J	8
S	J	7
S	J	10
S	J	10
A	A	5
A	A	7
A	A	1
A	A	7
A	A	7
A	A	8
A	A	7
A	A	6
A	A	6
A	A	3
A	J	2
A	J	3
A	J	6
A	J	5
A	J	2
A	J	5
A	J	3
A	J	5
A	J	9
A	J	9
W	A	4
W	A	2
W	A	4
W	A	4
W	A	4
W	A	3
W	A	3
W	A	1
W	A	0
W	A	1
W	J	0
W	J	1
W	J	0
W	J	2
W	J	2
W	J	2
W	J	3
W	J	0
W	J	0
W	J	1
