B	L	T	DATA
B	I	1	59
B	I	2	51
B	I	3	41
B	I	4	57
B	I	1	51
B	I	2	44
B	I	3	47
B	I	4	50
B	I	1	45
B	I	2	37
B	I	3	55
B	I	4	43
B	C1	1	46
B	C1	2	55
B	C1	3	43
B	C1	4	36
B	C1	1	40
B	C1	2	47
B	C1	3	36
B	C1	4	44
B	C1	1	32
B	C1	2	41
B	C1	3	29
B	C1	4	51
B	C2	1	39
B	C2	2	31
B	C2	3	23
B	C2	4	39
B	C2	1	32
B	C2	2	38
B	C2	3	30
B	C2	4	29
B	C2	1	25
B	C2	2	45
B	C2	3	37
B	C2	4	23
A	I	5	38
A	I	6	52
A	I	7	60
A	I	8	53
A	I	5	44
A	I	6	44
A	I	7	52
A	I	8	46
A	I	5	52
A	I	6	37
A	I	7	46
A	I	8	39
A	C1	5	31
A	C1	6	51
A	C1	7	30
A	C1	8	40
A	C1	5	38
A	C1	6	43
A	C1	7	37
A	C1	8	34
A	C1	5	45
A	C1	6	37
A	C1	7	44
A	C1	8	26
A	C2	5	42
A	C2	6	38
A	C2	7	41
A	C2	8	21
A	C2	5	35
A	C2	6	31
A	C2	7	34
A	C2	8	27
A	C2	5	28
A	C2	6	24
A	C2	7	27
A	C2	8	35
